,feature,xgb,rus1,rus5,rus10,rus15,iht1,iht5,iht10,iht15
0,RU,0.066,0.069,0.077,0.075,0.071,0.011,0.036,0.056,0.063
1,age,0.012,0.017,0.01,0.012,0.012,0.011,0.005,0.002,0.006
2,NPD30,0.029,0.043,0.032,0.024,0.027,0.054,0.044,0.034,0.033
3,DebtRatio,0.009,0.013,0.011,0.01,0.008,0.005,0.009,0.01,0.006
4,MonthlyIncome,0.007,0.009,0.007,0.007,0.006,0.02,0.009,0.005,0.005
5,NL_car,0.007,0.01,0.007,0.007,0.007,0.011,0.014,0.008,0.009
6,NPD90,0.03,0.065,0.037,0.036,0.031,0.038,0.03,0.039,0.028
7,NL_estate,0.004,0.006,0.005,0.005,0.005,0.022,0.008,0.005,0.009
8,NPD60,0.013,0.034,0.021,0.019,0.016,0.022,0.026,0.021,0.019
9,ND,0.001,0.002,0.001,0.001,0.002,0.025,0.021,0.007,0.008
