,feature,xgb,rus1,rus5,rus10,rus15,iht1,iht5,iht10,iht15
0,RU,0.02,0.107,0.063,0.039,0.029,0.032,0.036,0.017,0.021
1,age,0.006,0.042,0.019,0.012,0.009,0.032,0.007,0.002,0.003
2,NPD30,0.015,0.092,0.049,0.026,0.021,0.086,0.064,0.016,0.019
3,DebtRatio,0.005,0.027,0.015,0.01,0.006,0.015,0.01,0.008,0.004
4,MonthlyIncome,0.004,0.021,0.011,0.007,0.005,0.038,0.015,0.003,0.002
5,NL_car,0.004,0.021,0.012,0.008,0.006,0.028,0.014,0.005,0.004
6,NPD90,0.016,0.082,0.043,0.038,0.016,0.046,0.037,0.022,0.011
7,NL_estate,0.003,0.017,0.009,0.006,0.004,0.043,0.009,0.003,0.003
8,NPD60,0.008,0.054,0.025,0.018,0.017,0.035,0.024,0.009,0.017
9,ND,0.002,0.007,0.004,0.002,0.002,0.048,0.032,0.005,0.005
