,feature,xgb,rus1,rus5,rus10,rus15,iht1,iht5,iht10,iht15
0,LOAN,0.01,0.009,0.008,0.012,0.01,0.004,0.005,0.008,0.008
1,MORTDUE,0.008,0.012,0.005,0.006,0.008,0.008,0.004,0.007,0.008
2,VALUE,0.007,0.011,0.009,0.008,0.006,0.011,0.008,0.005,0.007
3,YOJ,0.009,0.004,0.005,0.006,0.006,0.002,0.007,0.007,0.005
4,DEROG,0.002,0.001,0.0,0.001,0.001,0.003,0.008,0.005,0.002
5,DELINQ,0.012,0.022,0.008,0.009,0.01,0.036,0.019,0.011,0.011
6,CLAGE,0.019,0.016,0.021,0.024,0.021,0.002,0.007,0.013,0.018
7,NINQ,0.002,0.003,0.002,0.002,0.002,0.006,0.004,0.002,0.003
8,DEBTINC,0.045,0.201,0.045,0.077,0.044,0.02,0.022,0.05,0.041
9,REASON,0.001,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.0
10,JOB,0.004,0.004,0.003,0.003,0.002,0.001,0.001,0.003,0.003
