,feature,xgb,rus1,rus5,rus10,rus15,iht1,iht5,iht10,iht15
0,LOAN,0.007,0.021,0.021,0.017,0.009,0.038,0.016,0.017,0.01
1,MORTDUE,0.006,0.022,0.014,0.01,0.008,0.052,0.016,0.016,0.009
2,VALUE,0.006,0.017,0.02,0.013,0.006,0.056,0.026,0.013,0.006
3,YOJ,0.005,0.016,0.012,0.008,0.005,0.023,0.018,0.009,0.004
4,DEROG,0.007,0.014,0.016,0.013,0.004,0.034,0.028,0.024,0.006
5,DELINQ,0.021,0.064,0.031,0.024,0.017,0.106,0.033,0.025,0.018
6,CLAGE,0.013,0.04,0.035,0.025,0.014,0.032,0.018,0.017,0.012
7,NINQ,0.004,0.009,0.01,0.006,0.007,0.053,0.016,0.008,0.007
8,DEBTINC,0.037,0.172,0.073,0.075,0.036,0.091,0.054,0.061,0.034
9,REASON,0.003,0.003,0.005,0.003,0.002,0.006,0.002,0.002,0.001
10,JOB,0.004,0.016,0.012,0.004,0.003,0.008,0.008,0.005,0.004
