,feature,xgb,rus1,rus5,rus10,rus15,iht1,iht5,iht10,iht15
0,LIMIT_BAL,0.015,0.024,0.021,0.009,0.013,0.0,0.005,0.001,0.006
1,AGE,0.006,0.012,0.017,0.006,0.007,0.03,0.014,0.003,0.013
2,BILLAMT_SEP,0.016,0.01,0.021,0.011,0.009,0.01,0.015,0.011,0.015
3,BILLAMT_AUG,0.011,0.012,0.011,0.005,0.009,0.014,0.008,0.004,0.008
4,BILLAMT_JUL,0.009,0.005,0.012,0.006,0.01,0.033,0.005,0.0,0.006
5,BILLAMT_JUN,0.007,0.01,0.015,0.006,0.004,0.012,0.003,0.003,0.003
6,BILLAMT_MAY,0.005,0.007,0.007,0.001,0.005,0.007,0.001,0.001,0.007
7,BILLAMT_APR,0.004,0.011,0.007,0.002,0.005,0.066,0.005,0.0,0.003
8,PAYAMT_SEP,0.011,0.014,0.012,0.006,0.011,0.006,0.007,0.005,0.007
9,PAYAMT_AUG,0.014,0.008,0.016,0.001,0.008,0.006,0.005,0.0,0.004
10,PAYAMT_JUL,0.012,0.023,0.019,0.015,0.007,0.002,0.006,0.005,0.007
11,PAYAMT_JUN,0.009,0.016,0.012,0.013,0.009,0.0,0.008,0.006,0.012
12,PAYAMT_MAY,0.007,0.006,0.005,0.003,0.002,0.005,0.014,0.004,0.009
13,PAYAMT_APR,0.006,0.01,0.008,0.003,0.004,-0.0,0.007,0.007,0.005
14,SEX,0.0,0.001,0.003,0.0,0.001,0.0,0.0,0.0,0.001
15,EDUCATION,0.002,0.001,0.003,0.0,0.001,0.0,0.0,0.0,0.0
16,MARRIAGE,0.003,0.003,0.002,0.001,0.001,0.0,0.0,0.0,0.003
17,PAY_SEP,0.046,0.035,0.06,0.047,0.049,0.0,0.025,0.041,0.046
18,PAY_AUG,0.008,0.018,0.007,0.015,0.006,0.051,0.013,0.015,0.011
19,PAY_JUL,0.002,0.005,0.003,0.007,0.005,0.0,0.002,0.003,0.001
20,PAY_JUN,0.004,0.004,0.006,0.008,0.005,0.001,0.005,0.007,0.007
21,PAY_MAY,0.0,0.002,0.002,0.007,0.002,0.0,0.001,0.005,0.002
22,PAY_APR,0.001,0.002,0.002,0.005,0.004,0.004,0.004,0.005,0.003
