,feature,xgb,rus1,rus5,rus10,rus15,iht1,iht5,iht10,iht15
0,LIMIT_BAL,0.004,0.024,0.015,0.003,0.004,0.0,0.005,0.001,0.002
1,AGE,0.002,0.009,0.011,0.002,0.002,0.006,0.007,0.001,0.002
2,BILLAMT_SEP,0.004,0.01,0.015,0.003,0.003,0.006,0.018,0.008,0.004
3,BILLAMT_AUG,0.002,0.007,0.007,0.002,0.002,0.011,0.012,0.003,0.002
4,BILLAMT_JUL,0.002,0.005,0.006,0.001,0.001,0.011,0.007,0.0,0.001
5,BILLAMT_JUN,0.001,0.007,0.007,0.001,0.002,0.005,0.005,0.001,0.001
6,BILLAMT_MAY,0.001,0.005,0.003,0.001,0.001,0.004,0.001,0.0,0.002
7,BILLAMT_APR,0.001,0.009,0.004,0.001,0.001,0.018,0.003,0.0,0.001
8,PAYAMT_SEP,0.003,0.016,0.013,0.004,0.005,0.003,0.007,0.001,0.003
9,PAYAMT_AUG,0.002,0.012,0.008,0.001,0.003,0.003,0.004,0.0,0.002
10,PAYAMT_JUL,0.004,0.033,0.015,0.006,0.005,0.001,0.003,0.001,0.003
11,PAYAMT_JUN,0.004,0.017,0.013,0.005,0.004,0.0,0.005,0.002,0.004
12,PAYAMT_MAY,0.003,0.009,0.004,0.001,0.001,0.002,0.006,0.001,0.002
13,PAYAMT_APR,0.002,0.009,0.006,0.001,0.002,0.0,0.006,0.002,0.002
14,SEX,0.0,0.002,0.003,0.0,0.0,0.0,0.0,0.0,0.0
15,EDUCATION,0.001,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.0
16,MARRIAGE,0.001,0.003,0.003,0.0,0.001,0.0,0.001,0.0,0.001
17,PAY_SEP,0.016,0.04,0.044,0.014,0.02,0.0,0.026,0.01,0.018
18,PAY_AUG,0.006,0.038,0.015,0.01,0.007,0.012,0.018,0.008,0.008
19,PAY_JUL,0.002,0.012,0.009,0.005,0.006,0.0,0.004,0.002,0.003
20,PAY_JUN,0.004,0.012,0.01,0.003,0.004,0.001,0.008,0.002,0.005
21,PAY_MAY,0.003,0.008,0.007,0.006,0.003,0.0,0.007,0.005,0.003
22,PAY_APR,0.003,0.009,0.005,0.004,0.004,0.002,0.007,0.003,0.003
