,feature,xgb,rus1,rus5,rus10,rus15,iht1,iht5,iht10,iht15
0,creditamount,0.014,0.0,0.012,0.01,0.008,0.014,0.049,0.0,0.026
1,duration,0.012,0.0,0.002,-0.0,0.006,0.013,0.008,0.057,0.001
2,installmentrate,0.003,0.0,0.003,0.004,0.003,0.029,0.0,0.0,0.0
3,residencesince,-0.001,0.0,0.002,0.0,-0.0,0.0,0.002,0.0,0.0
4,age,0.018,0.0,0.031,0.05,0.027,0.018,0.02,0.008,0.025
5,existingcredits,0.001,0.0,0.001,0.0,0.003,0.0,-0.0,0.0,0.0
6,peopleliable,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,existingchecking,0.235,0.233,0.286,0.225,0.244,0.076,0.201,0.0,0.167
8,credithistory,0.035,0.023,0.021,0.036,0.026,0.0,0.006,0.049,0.057
9,purpose,0.012,0.0,0.013,0.014,0.013,0.002,0.031,0.0,0.007
10,savings,0.0,0.011,0.0,0.0,0.0,-0.0,0.0,0.0,0.0
11,employmentsince,0.002,0.0,0.027,0.003,0.006,-0.007,0.003,0.0,0.0
12,statussex,0.002,0.0,0.006,0.002,0.003,0.001,0.003,0.0,0.0
13,otherdebtors,0.001,0.0,-0.0,0.0,0.002,0.0,0.0,0.0,0.0
14,property,-0.0,0.0,0.004,0.001,0.002,0.008,0.001,0.0,0.003
15,otherinstallmentplans,0.005,0.0,0.001,0.004,0.013,0.0,0.0,0.031,-0.0
16,housing,0.004,0.0,0.004,0.019,0.002,0.008,0.008,0.0,0.0
17,job,0.013,0.0,0.034,0.025,0.008,0.002,0.002,0.0,0.0
18,telephone,0.0,0.0,0.003,0.0,-0.0,0.0,0.001,0.0,0.0
19,foreignworker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
