,feature,xgb,rus1,rus5,rus10,rus15,iht1,iht5,iht10,iht15
0,creditamount,0.006,0.0,0.015,0.007,0.004,0.046,0.058,0.0,0.009
1,duration,0.004,0.0,0.002,0.001,0.002,0.038,0.013,0.002,0.001
2,installmentrate,0.003,0.0,0.002,0.002,0.002,0.063,0.001,0.0,0.0
3,residencesince,0.001,0.0,0.004,0.0,0.0,0.005,0.007,0.0,0.0
4,age,0.006,0.0,0.021,0.011,0.012,0.042,0.024,0.001,0.002
5,existingcredits,0.002,0.0,0.003,0.0,0.002,0.0,0.001,0.0,0.0
6,peopleliable,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,existingchecking,0.031,0.017,0.105,0.04,0.042,0.071,0.087,0.0,0.015
8,credithistory,0.009,0.003,0.019,0.008,0.014,0.003,0.014,0.002,0.009
9,purpose,0.008,0.0,0.021,0.006,0.01,0.007,0.039,0.0,0.002
10,savings,0.001,0.004,0.002,0.0,0.001,0.004,0.002,0.0,0.0
11,employmentsince,0.002,0.0,0.024,0.002,0.006,0.006,0.004,0.0,0.0
12,statussex,0.001,0.0,0.01,0.003,0.002,0.014,0.006,0.0,0.0
13,otherdebtors,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0
14,property,0.002,0.0,0.008,0.003,0.002,0.017,0.002,0.0,0.001
15,otherinstallmentplans,0.003,0.0,0.003,0.002,0.005,0.0,0.0,0.001,0.0
16,housing,0.002,0.0,0.01,0.008,0.002,0.02,0.018,0.0,0.0
17,job,0.005,0.0,0.024,0.008,0.006,0.012,0.004,0.0,0.0
18,telephone,0.001,0.0,0.003,0.0,0.0,0.0,0.002,0.0,0.0
19,foreignworker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
