,feature,xgb,rus1,rus5,rus10,rus15,iht1,iht5,iht10,iht15
0,Attr1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Attr2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Attr3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Attr4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Attr5,0.005,0.001,0.003,0.004,0.006,0.0,0.0,0.001,0.002
5,Attr6,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
6,Attr7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Attr8,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0
8,Attr9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Attr10,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0
10,Attr11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Attr12,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Attr13,0.001,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0
13,Attr14,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0
14,Attr15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Attr16,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0
16,Attr17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Attr18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Attr19,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0
19,Attr20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Attr21,0.002,0.001,0.001,0.002,0.002,0.0,0.0,0.0,0.002
21,Attr22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Attr23,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
23,Attr24,0.001,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.001
24,Attr25,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Attr26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Attr27,0.08,0.096,0.077,0.095,0.079,0.057,0.057,0.074,0.068
27,Attr28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Attr29,0.001,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0
29,Attr30,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
30,Attr31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Attr32,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Attr33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Attr34,0.003,0.001,0.002,0.003,0.003,0.002,0.0,0.001,0.001
34,Attr35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,Attr36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,Attr38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Attr39,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0
38,Attr40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Attr41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,Attr42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,Attr43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Attr44,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Attr45,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Attr46,0.014,0.001,0.004,0.011,0.011,0.0,0.0,0.003,0.007
45,Attr47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Attr48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Attr49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Attr50,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0
49,Attr51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0
50,Attr52,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
51,Attr53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,Attr54,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
53,Attr55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,Attr56,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0
55,Attr57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,Attr58,0.006,0.001,0.005,0.007,0.005,0.001,0.002,0.004,0.005
57,Attr59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,Attr60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Attr61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Attr62,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0
61,Attr63,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0
62,Attr64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
