,feature,xgb,rus1,rus5,rus10,rus15,iht1,iht5,iht10,iht15
0,Attr1,0.001,0.004,0.003,0.0,0.001,0.007,0.001,0.003,0.001
1,Attr2,0.001,0.003,0.001,0.001,0.001,0.001,0.003,0.001,0.0
2,Attr3,0.001,0.002,0.005,0.003,0.001,0.006,0.001,0.001,0.001
3,Attr4,0.001,0.007,0.002,0.003,0.001,0.002,0.002,0.0,0.001
4,Attr5,0.007,0.022,0.024,0.015,0.01,0.002,0.009,0.008,0.007
5,Attr6,0.002,0.008,0.006,0.003,0.002,0.004,0.002,0.002,0.002
6,Attr7,0.001,0.001,0.002,0.002,0.001,0.002,0.004,0.005,0.002
7,Attr8,0.001,0.005,0.003,0.001,0.001,0.002,0.002,0.002,0.001
8,Attr9,0.002,0.007,0.005,0.005,0.002,0.005,0.008,0.005,0.003
9,Attr10,0.001,0.003,0.001,0.001,0.0,0.002,0.001,0.001,0.001
10,Attr11,0.001,0.002,0.003,0.002,0.001,0.009,0.006,0.003,0.001
11,Attr12,0.001,0.018,0.005,0.002,0.001,0.007,0.003,0.003,0.001
12,Attr13,0.008,0.033,0.019,0.015,0.009,0.022,0.015,0.007,0.007
13,Attr14,0.0,0.001,0.001,0.0,0.0,0.002,0.001,0.0,0.0
14,Attr15,0.002,0.005,0.003,0.001,0.002,0.046,0.01,0.001,0.001
15,Attr16,0.001,0.017,0.007,0.005,0.002,0.011,0.003,0.003,0.002
16,Attr17,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0
17,Attr18,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Attr19,0.002,0.006,0.005,0.003,0.001,0.004,0.007,0.002,0.001
19,Attr20,0.002,0.008,0.002,0.003,0.002,0.003,0.002,0.001,0.001
20,Attr21,0.006,0.037,0.021,0.014,0.009,0.008,0.009,0.006,0.007
21,Attr22,0.002,0.008,0.007,0.002,0.002,0.01,0.004,0.002,0.002
22,Attr23,0.002,0.004,0.004,0.005,0.004,0.002,0.005,0.003,0.002
23,Attr24,0.006,0.027,0.023,0.011,0.008,0.027,0.027,0.015,0.01
24,Attr25,0.002,0.004,0.005,0.003,0.002,0.011,0.009,0.004,0.002
25,Attr26,0.006,0.034,0.026,0.013,0.009,0.03,0.008,0.012,0.007
26,Attr27,0.015,0.113,0.061,0.036,0.021,0.099,0.058,0.03,0.02
27,Attr28,0.001,0.003,0.001,0.002,0.001,0.004,0.006,0.002,0.001
28,Attr29,0.003,0.013,0.01,0.005,0.003,0.041,0.011,0.007,0.002
29,Attr30,0.001,0.005,0.004,0.003,0.002,0.005,0.001,0.002,0.001
30,Attr31,0.001,0.007,0.002,0.001,0.002,0.007,0.002,0.001,0.001
31,Attr32,0.002,0.003,0.003,0.002,0.004,0.001,0.002,0.001,0.001
32,Attr33,0.003,0.007,0.007,0.003,0.004,0.003,0.007,0.003,0.002
33,Attr34,0.005,0.028,0.017,0.011,0.007,0.025,0.017,0.01,0.005
34,Attr35,0.004,0.015,0.017,0.009,0.005,0.017,0.019,0.015,0.004
35,Attr36,0.002,0.007,0.005,0.002,0.002,0.03,0.011,0.003,0.001
36,Attr38,0.003,0.02,0.013,0.007,0.004,0.003,0.006,0.005,0.004
37,Attr39,0.007,0.048,0.021,0.016,0.009,0.02,0.01,0.008,0.005
38,Attr40,0.002,0.011,0.006,0.003,0.002,0.002,0.004,0.003,0.002
39,Attr41,0.001,0.005,0.002,0.003,0.002,0.003,0.012,0.003,0.002
40,Attr42,0.001,0.007,0.004,0.002,0.001,0.003,0.003,0.003,0.002
41,Attr43,0.0,0.004,0.001,0.001,0.001,0.002,0.002,0.001,0.001
42,Attr44,0.002,0.007,0.004,0.003,0.002,0.009,0.007,0.003,0.002
43,Attr45,0.001,0.004,0.002,0.001,0.001,0.004,0.001,0.001,0.001
44,Attr46,0.011,0.05,0.034,0.021,0.015,0.021,0.022,0.015,0.012
45,Attr47,0.001,0.005,0.003,0.002,0.001,0.002,0.005,0.002,0.001
46,Attr48,0.0,0.013,0.004,0.002,0.001,0.003,0.006,0.003,0.001
47,Attr49,0.001,0.003,0.002,0.001,0.002,0.005,0.003,0.001,0.001
48,Attr50,0.0,0.002,0.001,0.001,0.001,0.0,0.001,0.0,0.001
49,Attr51,0.001,0.003,0.002,0.001,0.001,0.002,0.001,0.001,0.001
50,Attr52,0.0,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001
51,Attr53,0.001,0.001,0.002,0.001,0.001,0.002,0.001,0.001,0.001
52,Attr54,0.001,0.002,0.002,0.003,0.001,0.001,0.002,0.001,0.001
53,Attr55,0.002,0.007,0.003,0.002,0.002,0.001,0.002,0.001,0.001
54,Attr56,0.002,0.005,0.008,0.006,0.004,0.003,0.004,0.003,0.002
55,Attr57,0.001,0.005,0.002,0.002,0.002,0.002,0.003,0.001,0.001
56,Attr58,0.007,0.029,0.023,0.016,0.009,0.028,0.023,0.011,0.008
57,Attr59,0.0,0.003,0.002,0.001,0.001,0.014,0.001,0.001,0.001
58,Attr60,0.001,0.004,0.003,0.001,0.001,0.002,0.001,0.001,0.001
59,Attr61,0.001,0.006,0.002,0.002,0.002,0.001,0.002,0.002,0.002
60,Attr62,0.001,0.003,0.001,0.001,0.0,0.002,0.001,0.001,0.001
61,Attr63,0.001,0.004,0.002,0.0,0.001,0.001,0.001,0.0,0.0
62,Attr64,0.001,0.006,0.004,0.003,0.002,0.006,0.008,0.004,0.002
